"","x"
"3053","AC002451.1"
"3054","VEGFB"
"3055","HAS1"
"3056","CLIC4P1"
"3057","HOXD-AS2"
"3058","FAM129A"
"3059","LMAN2"
"3060","PYGL"
"3061","IBSP"
"3062","SNCAIP"
"3063","AC011447.3"
"3064","CTF1"
"3065","MITF"
"3066","PKIG"
"3067","TRAF3IP2-AS1"
"3068","GDF5"
"3069","MTMR3"
"3070","SATB1"
"3071","TMEM9"
"3072","ZNF239"
"3073","DHDDS"
"3074","CYP46A1"
"3075","WWTR1"
"3076","AC007342.4"
"3077","TPM3"
"3078","TATDN2P3"
"3079","AL109741.1"
"3080","AL359532.1"
"3081","CLDN19"
"3082","MACO1"
"3083","AC000403.1"
"3084","DEFB124"
"3085","ARL2"
"3086","AC044839.1"
"3087","ARHGEF19"
"3088","TCF4"
"3089","C17orf107"
"3090","TNFRSF9"
"3091","CCDC71L"
"3092","ZFP64"
"3093","PLA2R1"
"3094","AC130371.2"
"3095","UROD"
"3096","BORA"
"3097","ILF3"
"3098","RFLNB"
"3099","SMC2"
"3100","PPP2CB"
"3101","CDK20"
"3102","PDZD8"
"3103","MTHFD2"
"3104","DPP4"
"3105","HIST1H1T"
"3106","AC008764.6"
"3107","TMEM97"
"3108","LYPLA1"
"3109","TTC9C"
"3110","TSPAN18"
"3111","NUP35P1"
"3112","PHPT1"
"3113","CNOT3"
"3114","SETP21"
"3115","JAK1"
"3116","STX1A"
"3117","RASGEF1C"
"3118","NFIA"
"3119","FAM86EP"
"3120","RP1L1"
"3121","ACTG1P12"
"3122","NR2F6"
"3123","CYSRT1"
"3124","LINC01852"
"3125","ORAI2"
"3126","CASP6"
"3127","ANKZF1"
"3128","MCM5"
"3129","ENC1"
"3130","AC078846.1"
"3131","BDH1"
"3132","MAGI3"
"3133","ABCA5"
"3134","COLEC12"
"3135","CLEC10A"
"3136","LINC00467"
"3137","DDX11"
"3138","ZNF707"
"3139","GPRASP1"
"3140","R3HDM1"
"3141","PYGO2"
"3142","SMTN"
"3143","EFCAB14"
"3144","C10orf25"
"3145","TSPAN3"
"3146","AC003681.1"
"3147","AK8"
"3148","OLR1"
"3149","SPRY4"
"3150","FBLN2"
"3151","LBHD2"
"3152","HSPA12A"
"3153","MYO5B"
"3154","TLE3"
"3155","AAGAB"
"3156","GPR34"
"3157","TMEM91"
"3158","EPRS"
"3159","AC127164.1"
"3160","SIM2"
"3161","F13A1"
"3162","AC092295.2"
"3163","AL161785.1"
"3164","IL21R"
"3165","SLC26A4"
"3166","ARID4B"
"3167","PNMA6A"
"3168","TNNT1"
"3169","SOWAHD"
"3170","TBKBP1"
"3171","PHF8"
"3172","CSMD2"
"3173","RAB26"
"3174","TMEM209"
"3175","PDK2"
"3176","ABL1"
"3177","EME2"
"3178","PDCD6"
"3179","NUP205"
"3180","ABCA1"
"3181","TMX4"
"3182","AL031985.3"
"3183","SRP9"
"3184","ZNF587"
"3185","CACNA1D"
"3186","C1orf112"
"3187","BLOC1S3"
"3188","TLE2"
"3189","VPS37B"
"3190","ILDR2"
"3191","ZNF764"
"3192","GLE1"
"3193","ADSS"
"3194","MB"
"3195","GEN1"
"3196","AC012368.1"
"3197","GMPPA"
"3198","DMRT3"
"3199","AADACP1"
"3200","RN7SKP273"
"3201","AC002116.2"
"3202","TRIM24"
"3203","PIP4P2"
"3204","STAB1"
"3205","OR2A42"
"3206","SNRPA"
"3207","ZDHHC15"
"3208","ADAMTSL3"
"3209","EPS15L1"
"3210","SMKR1"
"3211","C4A-AS1"
"3212","C4B-AS1"
"3213","AC025580.2"
"3214","FRMD4A"
"3215","NOS3"
"3216","RNPS1"
"3217","LINC02408"
"3218","NUDT16L1"
"3219","HSDL2"
"3220","TEPP"
"3221","TMEM51"
"3222","FUT8"
"3223","KLF10"
"3224","HNRNPL"
"3225","GOLGA2P5"
"3226","PTPA"
"3227","NDUFB4"
"3228","DNAH6"
"3229","FOXI2"
"3230","PTN"
"3231","RGPD8"
"3232","POLR1A"
"3233","RAI14"
"3234","CYP7B1"
"3235","CRTC3"
"3236","BZW2"
"3237","ARMC3"
"3238","C5orf34"
"3239","STARD10"
"3240","KCNK3"
"3241","CLIC2"
"3242","SLC25A26"
"3243","FAM122B"
"3244","ZBED3-AS1"
"3245","ELAC1"
"3246","C3"
"3247","KDF1"
"3248","KCNJ2"
"3249","BIK"
"3250","SRC"
"3251","AXL"
"3252","DYRK3"
"3253","ZNF678"
"3254","EIF4B"
"3255","GULP1"
"3256","MANEAL"
"3257","PRDM15"
"3258","XG"
"3259","NEURL1B"
"3260","EGFL6"
"3261","KIAA1522"
"3262","TTF2"
"3263","CSE1L"
"3264","PURA"
"3265","MIR100HG"
"3266","LRIG3"
"3267","AP002761.3"
"3268","C6orf136"
"3269","PHYHD1"
"3270","AL355574.1"
"3271","JADE3"
"3272","OCLN"
"3273","GRTP1"
"3274","PATJ"
"3275","TPRG1L"
"3276","CLN3"
"3277","TTPA"
"3278","ZDHHC2"
"3279","TBC1D31"
"3280","EIF2B5"
"3281","MBNL1"
"3282","WRAP73"
"3283","CEP135"
"3284","GOLGA2P7"
"3285","XKR4"
"3286","ALDH3A1"
"3287","PRSS8"
"3288","XRCC3"
"3289","EEF1A1"
"3290","CRIM1-DT"
"3291","ADIPOQ-AS1"
"3292","ZNF598"
"3293","PATZ1"
"3294","ZYG11A"
"3295","CETN4P"
"3296","AC114291.1"
"3297","ATXN3"
"3298","GLG1"
"3299","THOP1"
"3300","TNFRSF1A"
"3301","ATP2A1-AS1"
"3302","RAB11B-AS1"
"3303","LINC02660"
"3304","SERINC1"
"3305","AC008840.1"
"3306","MBD4"
"3307","HIST2H3D"
"3308","TMEM132B"
"3309","FAM189A2"
"3310","KLC2"
"3311","AC124944.3"
"3312","ABCB11"
"3313","AC104964.4"
"3314","COQ8A"
"3315","AL445423.1"
"3316","TMEM125"
"3317","ARHGAP21"
"3318","PRDM8"
"3319","AHR"
"3320","LINC02028"
"3321","ZNF578"
"3322","DHRS13"
"3323","AIMP2"
"3324","TMEM8A"
"3325","RPS26P21"
"3326","AC093627.6"
"3327","TRIM27"
"3328","SVIL-AS1"
"3329","IBA57"
"3330","PRDX1"
"3331","ADAM3B"
"3332","NLRX1"
"3333","MED12L"
"3334","LINC01977"
"3335","FANCG"
"3336","HEG1"
"3337","AC127502.1"
"3338","PHEX"
"3339","RAD21"
"3340","RFTN1"
"3341","DIO3"
"3342","POLD1"
"3343","HEMGN"
"3344","PPBP"
"3345","HIST1H3C"
"3346","ATP2C2"
"3347","MSH2"
"3348","NR4A3"
"3349","AL845331.2"
"3350","HBEGF"
"3351","AL356218.1"
"3352","RAB25"
"3353","PPP3CB"
"3354","AL161945.1"
"3355","STIM1"
"3356","DNAAF3"
"3357","JMJD4"
"3358","HIST1H3A"
"3359","CINP"
"3360","TIMP3"
"3361","CSRP1"
"3362","CD22"
"3363","ABCC6"
"3364","ZNF174"
"3365","SCLY"
"3366","SMPDL3B"
"3367","LEPROT"
"3368","PPHLN1"
"3369","OPTN"
"3370","SERP1"
"3371","ATAT1"
"3372","RNF145"
"3373","FMO1"
"3374","HDAC4"
"3375","OPN4"
"3376","CACNA2D3"
"3377","FGL2"
"3378","ZNF341"
"3379","ADAM19"
"3380","LINC01569"
"3381","EPB41L3"
"3382","CCDC152"
"3383","SLX4IP"
"3384","EIF4BP6"
"3385","INPP5A"
"3386","MYH10"
"3387","LINC00645"
"3388","VKORC1L1"
"3389","SLITRK2"
"3390","AC004466.1"
"3391","ACTG2"
"3392","FOXN2"
"3393","GOLGA8S"
"3394","AC026362.2"
"3395","ASB9"
"3396","CCDC68"
"3397","U82695.1"
"3398","AC027307.3"
"3399","MFNG"
"3400","RAD18"
"3401","SLC37A4"
"3402","AC013652.1"
"3403","ZFPM2"
"3404","CYB5D2"
"3405","RASGRP1"
"3406","ITPKB"
"3407","ADORA2A"
"3408","SYPL2"
"3409","AL109918.1"
"3410","NREP"
"3411","PPM1H"
"3412","FEZ2"
"3413","EPS15"
"3414","KIF1C"
"3415","ARC"
"3416","AC087482.1"
"3417","RBM4B"
"3418","GANC"
"3419","DRP2"
"3420","TNNC2"
"3421","SLC26A1"
"3422","FYN"
"3423","AC027290.2"
"3424","AL136084.3"
"3425","GJA3"
"3426","CXCL9"
"3427","AL031777.1"
"3428","CAPN13"
"3429","CD9"
"3430","AL031666.3"
"3431","CALCOCO1"
"3432","DZIP1L"
"3433","ZNF490"
"3434","GATA6-AS1"
"3435","GAB2"
"3436","ELN"
"3437","SOX8"
"3438","TIGD1"
"3439","MESP1"
"3440","COA1"
"3441","PRRC2C"
"3442","AC012360.3"
"3443","CLDN7"
"3444","TFAP4"
"3445","TSEN54"
"3446","TMEM204"
"3447","AC005520.2"
"3448","SAR1A"
"3449","ZNF426"
"3450","AQP7P2"
"3451","XKRX"
"3452","AC073585.1"
"3453","ITGB1"
"3454","PPP4C"
"3455","ST13P11"
"3456","ERMN"
"3457","CALCOCO2"
"3458","PTPRH"
"3459","FAM111A-DT"
"3460","POMC"
"3461","ARHGAP8"
"3462","LGALSL"
"3463","AP001816.1"
"3464","ZNF726"
"3465","UNC5B-AS1"
"3466","FBXW9"
"3467","BICC1"
"3468","AC006453.2"
"3469","GLI1"
"3470","RPN2"
"3471","AC007255.1"
"3472","STK40"
"3473","AC092802.1"
"3474","CD81"
"3475","RAI2"
"3476","NFE2L1"
"3477","ABCC5"
"3478","PJA2"
"3479","SERTAD1"
"3480","AC092612.1"
"3481","LINC02515"
"3482","AC098934.2"
"3483","ART4"
"3484","SBDSP1"
"3485","ANPEP"
"3486","PIGX"
"3487","PML"
"3488","AC011479.3"
"3489","AP000944.2"
"3490","GALNT7"
"3491","SUCO"
"3492","SNHG3"
"3493","PTGER4"
"3494","CARM1"
"3495","TLE1"
"3496","FAM136A"
"3497","LRR1"
"3498","MAP7"
"3499","DDX55"
"3500","AP000251.1"
"3501","AP1G2"
"3502","ZNF281"
"3503","AL109809.4"
"3504","SPICE1"
"3505","RRN3P1"
"3506","RAMP2-AS1"
"3507","CLCN3P1"
"3508","INTS10"
"3509","AP000648.3"
"3510","MXI1"
"3511","ZNF521"
"3512","KLK4"
"3513","AKR1E2"
"3514","CLCN4"
"3515","ZNF552"
"3516","AC010336.1"
"3517","CPQ"
"3518","AL139353.1"
"3519","AC110772.2"
"3520","EFNB2"
"3521","CPEB1"
"3522","LIMK1"
"3523","KLHL12"
"3524","NDUFAB1"
"3525","KIF17"
"3526","ADAMTS8"
"3527","AP000331.1"
"3528","WT1-AS"
"3529","HADHB"
"3530","GPR12"
"3531","ZMIZ2"
"3532","AL512625.2"
"3533","STAB2"
"3534","AL603840.1"
"3535","TMIE"
"3536","PROK1"
"3537","AC068831.7"
"3538","REPIN1"
"3539","SH3BP1"
"3540","AC051619.8"
"3541","KCNIP1"
"3542","LRRC37A7P"
"3543","CHD8"
"3544","AC009242.1"
"3545","PLCL2"
"3546","AC013275.1"
"3547","SNRPC"
"3548","CLN6"
"3549","HOXA-AS3"
"3550","COL4A6"
"3551","DSCC1"
"3552","ZNF454"
"3553","YPEL4"
"3554","MCIDAS"
"3555","CLGN"
"3556","AKAP8L"
"3557","KY"
"3558","BNIP2"
"3559","AC012651.1"
"3560","FBXO8"
"3561","AC079316.1"
"3562","HTR4"
"3563","DLK1"
"3564","SH3RF3-AS1"
"3565","ZNF710"
"3566","CSNK2A2"
"3567","CTNNA3"
"3568","RGP1"
"3569","PLD5"
"3570","MXD3"
"3571","COPG1"
"3572","TPT1"
"3573","APOL6"
"3574","P4HA3"
"3575","RRAS2"
"3576","C6orf89"
"3577","LAMB1"
"3578","MGAT4B"
"3579","AL136317.3"
"3580","KIF13A"
"3581","RAC3"
"3582","FGF13-AS1"
"3583","LAMB2"
"3584","NFKBIE"
"3585","KCNH4"
"3586","AC130466.1"
"3587","ZNF736"
"3588","NRAV"
"3589","LRMDA"
"3590","E4F1"
"3591","EYS"
"3592","LYNX1-SLURP2"
"3593","EEF2"
"3594","HOXC13"
"3595","B3GNT5"
"3596","ARMC6"
"3597","SAA2-SAA4"
"3598","TPBG"
"3599","MBOAT2"
"3600","STRA6"
"3601","CDH1"
"3602","PLEKHN1"
"3603","RNF139-AS1"
"3604","SMS"
"3605","CALM1"
"3606","LRRC42"
"3607","TBL3"
"3608","EXOSC4"
"3609","RUNX2"
"3610","PGAP2"
"3611","ELF3-AS1"
"3612","METTL26"
"3613","HOXD3"
"3614","CDH12"
"3615","ABHD3"
"3616","ADD1"
"3617","VAMP1"
"3618","PEMT"
"3619","PLCB1"
"3620","POLR3GL"
"3621","GK"
"3622","PSMG3"
"3623","CLCA4"
"3624","FTLP14"
"3625","TNK2"
"3626","THBS4"
"3627","CCNY"
"3628","FCGR1A"
"3629","TPT1-AS1"
"3630","TFDP2"
"3631","LRWD1"
"3632","ZNF627"
"3633","AC068987.5"
"3634","AL590560.3"
"3635","GSPT2"
"3636","ACOX1"
"3637","ADI1"
"3638","ARTN"
"3639","PPIF"
"3640","TMEM191A"
"3641","WDYHV1"
"3642","KCNA5"
"3643","H19"
"3644","SCO1"
"3645","DCX"
"3646","C2CD2L"
"3647","LSM6"
"3648","AC093390.1"
"3649","BARD1"
"3650","SLC7A11"
"3651","SGK1"
"3652","RNF165"
"3653","HACD3"
"3654","MAGOHB"
"3655","ISCU"
"3656","S100A6"
"3657","NRGN"
"3658","AL031597.1"
"3659","VAMP5"
"3660","EIF3F"
"3661","KCTD8"
"3662","EVC2"
"3663","LINC01281"
"3664","ARHGEF7"
"3665","PRPF3"
"3666","FBXL16"
"3667","TTC9"
"3668","SLX1B"
"3669","AL645608.2"
"3670","TOPBP1"
"3671","CCND3"
"3672","AC051619.7"
"3673","PEX19"
"3674","NOSTRIN"
"3675","RHOH"
"3676","GAL3ST2"
"3677","SEPHS2"
"3678","TSPAN4"
"3679","RPARP-AS1"
"3680","SEPT11"
"3681","LCN12"
"3682","ECHDC1"
"3683","RPL3"
"3684","PRPF19"
"3685","LINC01127"
"3686","AUP1"
"3687","UNC5C"
"3688","AC009879.3"
"3689","PRMT1"
"3690","ANG"
"3691","SPIN3"
"3692","LINC01844"
"3693","CHPF"
"3694","LINC02656"
"3695","PPP1R14B"
"3696","PGA3"
"3697","ADRA2A"
"3698","TTC38"
"3699","DONSON"
"3700","EGR3"
"3701","AP001148.1"
"3702","RPL11"
"3703","PTCHD1"
"3704","VPS4A"
"3705","ZDHHC16"
"3706","TBRG4"
"3707","KIAA0355"
"3708","NDUFA4L2"
"3709","YARS"
"3710","TUBB8"
"3711","MAP1LC3A"
"3712","MYEOV"
"3713","AC092384.1"
"3714","FNIP2"
"3715","THYN1"
"3716","PDIK1L"
"3717","CYTL1"
"3718","PAPOLB"
"3719","LMNB2"
"3720","MMP9"
"3721","RBM15"
"3722","SNHG1"
"3723","FAM72B"
"3724","MAPK10"
"3725","TARBP2"
"3726","ZNF682"
"3727","AL137802.2"
"3728","PAR_Y_SPRY3"
"3729","SPRY3"
"3730","DLEU1"
"3731","NBEAL2"
"3732","FLG-AS1"
"3733","AC020917.4"
"3734","DNAH8"
"3735","PLEKHF1"
"3736","MYO1H"
"3737","CADPS"
"3738","ZNF641"
"3739","EML1"
"3740","SGCA"
"3741","IQCE"
"3742","PRCC"
"3743","TTBK1"
"3744","GAPDHP27"
"3745","C7orf43"
"3746","LINC01359"
"3747","BBS7"
"3748","TMEM25"
"3749","ATF4"
"3750","TSHZ3"
"3751","SHMT2"
"3752","LSM7"
"3753","ACOT2"
"3754","MRPL13"
"3755","PHLDA1"
"3756","AL033504.1"
"3757","AL022344.1"
"3758","SEMA4B"
"3759","PEG13"
"3760","CYP4F23P"
"3761","AL391005.1"
"3762","DNAAF5"
"3763","SLC12A7"
"3764","ZNF75A"
"3765","BEND7"
"3766","RPL7P18"
"3767","IRF7"
"3768","DAAM1"
"3769","VAT1"
"3770","AC026316.3"
"3771","EFNA4"
"3772","WIF1"
"3773","H3F3A"
"3774","NAXE"
"3775","AC004080.5"
"3776","SMG1"
"3777","E2F3"
"3778","NAP1L2"
"3779","SIRT7"
"3780","FOXH1"
"3781","AP1S3"
"3782","RNF34"
"3783","DIPK1B"
"3784","HEATR6"
"3785","CACNG4"
"3786","GAS2L3"
"3787","ASPG"
"3788","CGN"
"3789","MYOZ2"
"3790","RNF217"
"3791","NFATC2IP"
"3792","TMEM184A"
"3793","MAP4K3-DT"
"3794","PRSS22"
"3795","CTBP2P8"
"3796","ZNF544"
"3797","CCR8"
"3798","SMG9"
"3799","SIAH2"
"3800","AC073862.4"
"3801","LIMCH1"
"3802","DNM3"
"3803","CELSR3"
"3804","GRAMD1A"
"3805","AC005064.1"
"3806","AC007036.3"
"3807","ESPN"
"3808","ZNF660"
"3809","NUAK1"
"3810","GRM4"
"3811","FRMPD4"
"3812","TNIP1"
"3813","ZNF812P"
"3814","CCDC25"
"3815","ADH1A"
"3816","ROM1"
"3817","HOXD4"
"3818","CLDN9"
"3819","TCF19"
"3820","JPH4"
"3821","FANCB"
"3822","PLPP5"
"3823","COX14"
"3824","FBXL6"
"3825","AC005539.1"
"3826","SACS"
"3827","AC074117.1"
"3828","AMIGO1"
"3829","DLL1"
"3830","FANK1"
"3831","AL137782.1"
"3832","AC243562.3"
"3833","SLC5A4"
"3834","TRIM7"
"3835","AL132994.2"
"3836","SLC2A3P2"
"3837","AC090510.2"
"3838","HECTD1"
"3839","AC026469.1"
"3840","AC011912.1"
"3841","IGFBP3"
"3842","RPS6KA1"
"3843","PF4"
"3844","HAS2"
"3845","STX6"
"3846","ZNF462"
"3847","MMP1"
"3848","CHMP3"
"3849","CHRNA1"
"3850","UBFD1"
"3851","TMC4"
"3852","P4HB"
"3853","IL15RA"
"3854","MAP2K3"
"3855","FAM3D"
"3856","MCC"
"3857","GATAD2A"
"3858","CDK5R1"
"3859","IFT22"
"3860","DOLPP1"
"3861","RNLS"
"3862","CXCR2"
"3863","FPGT-TNNI3K"
"3864","CDKL1"
"3865","NAT1"
"3866","RGS4"
"3867","SAMD12"
"3868","CPNE7"
"3869","MARCO"
"3870","TP53I11"
"3871","EMC9"
"3872","MAPRE3"
"3873","PCDHGB7"
"3874","WNT7B"
"3875","SNRNP40"
"3876","AC073332.1"
"3877","SEL1L2"
"3878","MARCH2"
"3879","BCL2L2"
"3880","PJA1"
"3881","AC135983.2"
"3882","TSPAN11"
"3883","SLC6A9"
"3884","PELO"
"3885","KCNQ1"
"3886","WFDC21P"
"3887","COL5A3"
"3888","CFAP61"
"3889","SMYD4"
"3890","RPL39L"
"3891","PAX9"
"3892","ZMYND8"
"3893","TMEM41B"
"3894","CCDC88C"
"3895","CCP110"
"3896","SDCBP"
"3897","AL590226.1"
"3898","VENTX"
"3899","IGFBP4"
"3900","ARFIP2"
"3901","AP002026.1"
"3902","SHISA3"
"3903","HSPB11"
"3904","LCA5"
"3905","LAGE3"
"3906","PRR29-AS1"
"3907","IL6R"
"3908","DSCAML1"
"3909","STK26"
"3910","AC009159.3"
"3911","FBP1"
"3912","TMEM183A"
"3913","NBPF4"
"3914","PHYHIPL"
"3915","IQCN"
"3916","AC062037.3"
"3917","SPATA20P1"
"3918","SLC9B2"
"3919","PTCHD3"
"3920","LINC00511"
"3921","ZSCAN12P1"
"3922","AL031595.3"
"3923","PSEN2"
"3924","GNG12-AS1"
"3925","AC105206.1"
"3926","CDC42EP1"
"3927","MCOLN2"
"3928","TCEAL5"
"3929","PALM2"
"3930","NCEH1"
"3931","RCC2P6"
"3932","FAF2"
"3933","MAST2"
"3934","CPT1B"
"3935","PROM2"
"3936","HIC2"
"3937","PRR15L"
"3938","KHDRBS3"
"3939","FAM53C"
"3940","GPC2"
"3941","CADM2"
"3942","DTYMK"
"3943","MAGED2"
"3944","LINC01088"
"3945","CTNNBIP1"
"3946","SV2C"
"3947","PPARGC1A"
"3948","FOXK2"
"3949","PLB1"
"3950","C22orf39"
"3951","XIRP1"
"3952","RELL1"
"3953","NR4A1"
"3954","HSD17B1"
"3955","LCA5L"
"3956","SMYD1"
"3957","KDM1A"
"3958","CARD19"
"3959","TXNDC17"
"3960","NPY2R"
"3961","DOCK6"
"3962","VWC2"
"3963","AC068987.4"
"3964","QPCTL"
"3965","TMEM52B"
"3966","AC106782.6"
"3967","ZNF749"
"3968","ZNF525"
"3969","CCDC167"
"3970","C4orf50"
"3971","AC092332.1"
"3972","SLC25A33"
"3973","AL592429.2"
"3974","ZNF213-AS1"
"3975","TTC13"
"3976","AC092821.3"
"3977","HNRNPLP2"
"3978","CYP26B1"
"3979","CNOT6"
"3980","PITRM1-AS1"
"3981","MAFK"
"3982","NOP53"
"3983","AFF1"
"3984","FBXL19-AS1"
"3985","CBX6"
"3986","BOLA2B"
"3987","CYP51A1P3"
"3988","MYOM2"
"3989","CXCL14"
"3990","OVCH1"
"3991","AC006042.3"
"3992","AC092376.3"
"3993","BCOR"
"3994","TRIM62"
"3995","ACYP2"
"3996","YIPF4"
"3997","KIF25"
"3998","PPFIA4"
"3999","AC007342.5"
"4000","FP325332.1"
"4001","CLVS1"
"4002","LRRC59"
"4003","LSM14B"
"4004","TBX5"
"4005","MSH6"
"4006","AC104667.2"
"4007","GTDC1"
"4008","SPIRE2"
"4009","ZNF530"
"4010","FAM86C2P"
"4011","SESN3"
"4012","FAP"
"4013","CELSR1"
"4014","DNAJC1"
"4015","SS18L2"
"4016","REV3L"
"4017","FCN3"
"4018","OR2A1-AS1"
"4019","PRRC1"
"4020","BBOX1"
"4021","KCNG3"
"4022","COPB2"
"4023","ANXA9"
"4024","AC124319.1"
"4025","INKA1"
"4026","AMMECR1"
"4027","AC106782.2"
"4028","ADGRE5"
"4029","SH3RF3"
"4030","CXCL11"
"4031","LUZP2"
"4032","SNORA73B"
"4033","KLF8"
"4034","TXNDC11"
"4035","C1R"
"4036","TSPYL2"
"4037","NUBP2"
"4038","MFN2"
"4039","MAP4"
"4040","ABRACL"
"4041","AP006284.1"
"4042","RPL26L1"
"4043","OR2W6P"
"4044","PROSER1"
"4045","MCM3AP-AS1"
"4046","RNF11"
"4047","ANKRD50"
"4048","PDE5A"
"4049","RCVRN"
"4050","CCDC158"
"4051","SSR4"
"4052","TRAK2"
"4053","ZNF468"
"4054","AC011447.6"
"4055","FABP5"
"4056","CLBA1"
"4057","C11orf24"
"4058","DDX12P"
"4059","UBXN2B"
"4060","PMS2P7"
"4061","CTPS2"
"4062","HOXC11"
"4063","AC002310.1"
"4064","ARMCX1"
"4065","LINC02256"
"4066","CDH6"
"4067","TMEM255B"
"4068","ME3"
"4069","NETO2"
"4070","RNU4-1"
"4071","TSPAN12"
"4072","AC007336.3"
"4073","CCDC112"
"4074","PPTC7"
"4075","NR1H3"
"4076","NIF3L1"
"4077","CAPN9"
"4078","DUS2"
"4079","TBILA"
"4080","AVL9"
"4081","DHX9"
"4082","LTA"
"4083","HIST1H2BI"
"4084","AC008443.1"
"4085","RAP1GAP"
"4086","PDZRN4"
"4087","BRWD1"
"4088","AC104809.2"
"4089","PAM16"
"4090","ZNF738"
"4091","FAM20C"
"4092","COL4A2"
"4093","SUCLG2-AS1"
"4094","TP53INP1"
"4095","SIRT2"
"4096","RGS22"
"4097","FUOM"
"4098","LRRC8C"
"4099","NKAIN2"
"4100","LCMT1"
"4101","LINC01705"
"4102","FO681492.1"
"4103","LNX2"
"4104","TYMSOS"
"4105","AJAP1"
"4106","CERS4"
"4107","EIF4A3"
"4108","C7orf31"
"4109","HLX"
"4110","MRGBP"
"4111","NDC1"
"4112","LINC00346"
"4113","AC015922.3"
"4114","KLF7-IT1"
"4115","LIG3"
"4116","CTDSPL"
"4117","AL450332.1"
"4118","RF00024"
"4119","ALDH4A1"
"4120","LINC02236"
"4121","UBAP1"
"4122","RN7SL653P"
"4123","SFXN2"
"4124","PRDX6"
"4125","SRRT"
"4126","ADCK5"
"4127","FCER1A"
"4128","SNED1"
"4129","C5orf49"
"4130","NCOA1"
"4131","DEGS2"
"4132","AC010185.1"
"4133","SETDB1"
"4134","AC112777.1"
"4135","PHLDA3"
"4136","MAP6D1"
"4137","MAPK8IP2"
"4138","AC011481.1"
"4139","MTFP1"
"4140","LINC01814"
"4141","EML3"
"4142","CH25H"
"4143","TMEM245"
"4144","COPE"
"4145","TTN"
"4146","PROB1"
"4147","TRAF5"
"4148","CST1"
"4149","ADAMTS6"
"4150","MARVELD3"
"4151","ADH4"
"4152","MIR4435-2HG"
"4153","DOK3"
"4154","ACOT8"
"4155","TRIM45"
"4156","STK11IP"
"4157","LINC01128"
"4158","ZNF233"
"4159","PAXIP1-AS2"
"4160","FOXN3-AS1"
"4161","ITPKA"
"4162","MCM6"
"4163","AC013726.1"
"4164","PIGQ"
"4165","AC097381.1"
"4166","BIN3"
"4167","OSR2"
"4168","CTPS1"
"4169","EPB41L4A-AS1"
"4170","GTF2IP20"
"4171","AL021807.1"
"4172","MEGF8"
"4173","PMP22"
"4174","DYNC2H1"
"4175","SVIL"
"4176","AQP7P4"
"4177","AC008115.3"
"4178","UBAP2"
"4179","ZNF781"
"4180","TMEM140"
"4181","SLC25A39"
"4182","PAM"
"4183","TRERF1"
"4184","MID2"
"4185","ANTXRL"
"4186","LMLN"
"4187","AL033543.1"
"4188","COLEC11"
"4189","FANCC"
"4190","YTHDF1"
"4191","SLC25A19"
"4192","AL513523.1"
"4193","FHL2"
"4194","RGS1"
"4195","EDN3"
"4196","TTLL11"
"4197","EFCAB12"
"4198","RIPK2"
"4199","RNF212"
"4200","ASPH"
"4201","HDAC5"
"4202","RPLP2"
"4203","VPS51"
"4204","LINC00922"
"4205","RUVBL2"
"4206","DDR1"
"4207","AC025280.2"
"4208","EEF1E1"
"4209","SNHG12"
"4210","S100P"
"4211","CLCN7"
"4212","CXCL3"
"4213","RANBP1"
"4214","AL157834.2"
"4215","PTCH1"
"4216","PRRG2"
"4217","PPIH"
"4218","TSTD1"
"4219","RAE1"
"4220","AC244021.1"
"4221","VSIG4"
"4222","ETV7"
"4223","SLC25A37"
"4224","OVOL1"
"4225","FAM84B"
"4226","ANKS6"
"4227","RPH3AL"
"4228","AC008040.2"
"4229","AP003486.1"
"4230","FBXO27"
"4231","AK4"
"4232","FUBP1"
"4233","KDM2B"
"4234","SACS-AS1"
"4235","PRRG4"
"4236","AL008707.1"
"4237","TMEM106C"
"4238","TCEAL9"
"4239","NOP2"
"4240","SSBP2"
"4241","SNX27"
"4242","DNAJC22"
"4243","FAM219B"
"4244","DCBLD2"
"4245","LRP4"
"4246","NUDT19"
"4247","AL353729.1"
"4248","SWSAP1"
"4249","ZNF438"
"4250","DQX1"
"4251","AP000695.3"
"4252","PPP1R1B"
"4253","AC093895.1"
"4254","IL3RA"
"4255","PAR_Y_IL3RA"
"4256","AMPD3"
"4257","SLC9A6"
"4258","CTSG"
"4259","TIMM22"
"4260","HCFC1"
"4261","ACTA2"
"4262","SPRED1"
"4263","PWWP2AP1"
"4264","LRRC32"
"4265","HIST3H2A"
"4266","MS4A15"
"4267","ALDH9A1"
"4268","NUDT3"
"4269","SLC12A6"
"4270","RAP1A"
"4271","KRT222"
"4272","GRM7"
"4273","AC011447.7"
"4274","KIAA1324L"
"4275","EDEM1"
"4276","HIPK2"
"4277","ZBTB12"
"4278","XPO1"
"4279","PIGU"
"4280","ENTR1"
"4281","FAM228B"
"4282","HS1BP3-IT1"
"4283","GHET1"
"4284","CLDN2"
"4285","AC009065.1"
"4286","RPSAP70"
"4287","CENPP"
"4288","CNKSR2"
"4289","ANXA5"
"4290","AC139749.1"
"4291","GAB3"
"4292","ADGRD2"
"4293","FAM241B"
"4294","FCN1"
"4295","AC022149.1"
"4296","ELF3"
"4297","ZNF471"
"4298","DARS2"
"4299","MARC2"
"4300","RPL7AP66"
"4301","GORAB"
