"","x"
"320","KIF24"
"321","APOLD1"
"322","PLXNA4"
"323","ABLIM1"
"324","EMX2OS"
"325","RXRG"
"326","AMOTL1"
"327","MMRN2"
"328","TGFBR3"
"329","TMEM220"
"330","CDCA3"
"331","DAAM2"
"332","S1PR1"
"333","TNS2"
"334","DCUN1D3"
"335","FHL5"
"336","MARCKSL1"
"337","SPART"
"338","FOXN3"
"339","AP005264.7"
"340","PGM5P3-AS1"
"341","RBP4"
"342","FLVCR1"
"343","CDC14B"
"344","THSD7B"
"345","AKAP2"
"346","CNTFR"
"347","SAMD4A"
"348","NDN"
"349","AC098617.1"
"350","MOB3C"
"351","RGN"
"352","CASQ2"
"353","LINC02237"
"354","RAPGEF2"
"355","MAGI2-AS3"
"356","MT1M"
"357","NDEL1"
"358","SNX21"
"359","EZH1"
"360","CCDC3"
"361","MEOX1"
"362","TMEM246"
"363","MT1X"
"364","PRCD"
"365","ZNF728"
"366","ADIPOQ"
"367","MIR22HG"
"368","PTH1R"
"369","NMNAT2"
"370","G0S2"
"371","F8"
"372","CENPF"
"373","SPAAR"
"374","KCTD12"
"375","LHX6"
"376","ACVR1C"
"377","JPT2"
"378","SPARCL1"
"379","LINC00968"
"380","HIST1H2AM"
"381","MAP1LC3C"
"382","MAP7D3"
"383","MICU3"
"384","AC026124.1"
"385","BMP5"
"386","SLC17A7"
"387","NATD1"
"388","AC129492.1"
"389","AOC4P"
"390","RDH5"
"391","CD209"
"392","PKD2"
"393","VWF"
"394","ATP5IF1"
"395","AC073862.5"
"396","MYCT1"
"397","COL6A6"
"398","HIST1H3J"
"399","CKAP2L"
"400","LONRF1"
"401","TWIST2"
"402","PNRC1"
"403","DPT"
"404","TLN2"
"405","TRPM6"
"406","CBX7"
"407","MAFF"
"408","LRRC2"
"409","INPP1"
"410","INKA2"
"411","PPP1R1A"
"412","ETS2"
"413","TROAP"
"414","LVRN"
"415","RPL24P8"
"416","SYNE1"
"417","ANKRD20A17P"
"418","MKI67"
"419","SAA1"
"420","ESM1"
"421","NDRG2"
"422","HRASLS5"
"423","DUSP6"
"424","CCM2L"
"425","MRGPRF"
"426","TDRD10"
"427","STAT5B"
"428","ADAMTS1"
"429","CDIP1"
"430","UBE2T"
"431","THRSP"
"432","STARD9"
"433","MMP11"
"434","MASP1"
"435","IQGAP3"
"436","SHANK3"
"437","FAM43A"
"438","PAFAH1B3"
"439","EIF4EBP2"
"440","LTBP4"
"441","CARMN"
"442","CNRIP1"
"443","AUNIP"
"444","CFL2"
"445","CEP85"
"446","SOX7"
"447","NOVA2"
"448","KIF4A"
"449","KIF11"
"450","LINC01614"
"451","CCDC85A"
"452","RGMA"
"453","DMGDH"
"454","CARD6"
"455","PGM5-AS1"
"456","ANKRD53"
"457","ADGRD1"
"458","AC096921.2"
"459","SOD3"
"460","PKMYT1"
"461","HOXA6"
"462","MATN2"
"463","FANCI"
"464","TUBB6"
"465","RAD51AP1"
"466","ABLIM3"
"467","AVPR1A"
"468","ADCY4"
"469","RCC2"
"470","HSD17B13"
"471","FOXM1"
"472","TMTC1"
"473","EZH2"
"474","LINC02580"
"475","ZHX3"
"476","DEPP1"
"477","NLGN1"
"478","WNT11"
"479","TNNT3"
"480","TF"
"481","PCAT19"
"482","PLPP7"
"483","BUB1B"
"484","EGFR"
"485","ARAP3"
"486","PAQR4"
"487","HIST1H2BL"
"488","DTX1"
"489","KIF26B"
"490","MIF"
"491","HIST1H3H"
"492","PDGFD"
"493","CKS2"
"494","SPAG5"
"495","BMX"
"496","FAT4"
"497","RASL11A"
"498","PSAT1P3"
"499","UBE2C"
"500","RHOU"
"501","C8orf88"
"502","SCN3B"
"503","HADH"
"504","XPNPEP2"
"505","CCNB1"
"506","TMOD1"
"507","ROBO3"
"508","PXN"
"509","TTK"
"510","PDE9A"
"511","FAM149A"
"512","ECM2"
"513","CEP68"
"514","AP002956.1"
"515","FBXO41"
"516","AC121247.1"
"517","AC105053.1"
"518","USHBP1"
"519","RACGAP1"
"520","GABARAPL1"
"521","IGF1"
"522","ABCC9"
"523","C1QTNF7"
"524","CDADC1"
"525","AASS"
"526","C1orf131"
"527","ZCCHC24"
"528","TEK"
"529","BMP6"
"530","LINC01354"
"531","FOXO1"
"532","ARID5B"
"533","AC098650.1"
"534","STARD8"
"535","PYCR1"
"536","AC024909.1"
"537","PTPRB"
"538","LINC02613"
"539","ADGRL3"
"540","MYZAP"
"541","BICDL1"
"542","TMEM100"
"543","LARP6"
"544","NUP62"
"545","NMUR1"
"546","HIST1H2BK"
"547","ST6GALNAC6"
"548","ASPM"
"549","AC110048.2"
"550","CNTNAP3"
"551","OR2S1P"
"552","ANGPTL8"
"553","CEP55"
"554","GTSE1"
"555","PELI2"
"556","PENK"
"557","WDR62"
"558","KIF23"
"559","SNHG26"
"560","ADAMTSL4"
"561","SAA2"
"562","WSCD1"
"563","SEC14L1"
"564","FXYD6"
"565","SLC6A2"
"566","DNAJC18"
"567","SBK1"
"568","ERCC6L"
"569","AP003071.4"
"570","BUB1"
"571","LGALS12"
"572","AC107959.1"
"573","GPRC5B"
"574","H2AFY"
"575","CCDC69"
"576","SLC10A6"
"577","CLMP"
"578","STXBP6"
"579","FNDC4"
"580","ASF1B"
"581","TLCD2"
"582","CDH5"
"583","KLHL33"
"584","HIST1H2BE"
"585","C1QTNF1"
